l2_regularization,learning_rate,max_leaf_nodes,min_samples_leaf,max_bins,mean_test_score,std_test_score,rank_test_score
0.021329648717648208,0.1307886059282795,29,2,157,0.8732884772496042,0.003447861002555424,1
2.2812114496002632e-05,0.21085808997024474,31,9,188,0.8719576081187677,0.0034030671313813677,2
9.16033911237448e-06,0.42903237882248524,6,51,191,0.8718296392402959,0.0034329318457388845,3
8.89339039480547e-05,0.051247327722071086,114,1,137,0.8717528048562213,0.0037125406691651632,4
1.79750409442408,0.04098438966947531,107,3,132,0.8715737047584753,0.003413046945794433,5
0.03922028324259524,0.03662440509263192,116,3,144,0.8713944998567953,0.0035091016719720155,6
8.995428958104743,0.5376939316451698,32,59,224,0.8709850963893244,0.0022526647753238417,7
1.6589356737501623e-05,0.02681452659522467,50,26,133,0.8708570882093774,0.0031130178153016123,8
5.146562793179593,0.14369839489446543,96,29,171,0.870473175023716,0.004476504194609902,9
4.933574267538011,0.025178613135892026,162,3,147,0.8701660307196706,0.002727142317219686,10
6.0352796651234595,0.38809990336569683,3,7,220,0.8686559697876459,0.004337494410262779,11
0.13860735089392448,0.6607431314403278,26,46,170,0.8682978187189978,0.002959098359748157,12
3.7841166301110666e-06,0.13855792817945614,5,11,183,0.8679906056373708,0.004712295717743254,13
0.0010361340856839014,0.048127990430464763,14,9,162,0.867709056419069,0.004007252684841407,14
112.2308915627567,1.0223927072623207,40,1,171,0.867427618554947,0.0036083361905769238,15
0.0002951263829273712,0.29109348404329727,17,33,99,0.866711005280972,0.0036569886141832085,16
1.9078732924438,0.5464182571752334,80,10,235,0.8666341512461597,0.004044468090548885,17
0.6796812417942378,0.9697302066606158,2,11,189,0.8662501660077938,0.005406971410719847,18
217.93668493794706,0.046635997702313685,50,5,246,0.8656872280522139,0.003542396238292663,19
0.0002574742265988584,0.3351015669343489,7,20,110,0.8654313295967455,0.00425303045145313,20
0.002116261777916139,0.027506592339391945,46,22,94,0.8643819245310146,0.0039968797958534474,21
173.41153725654826,0.053046083570957935,18,10,147,0.8641515982354292,0.004395520725486712,22
0.0019100151393955064,0.07898341393437443,26,1,61,0.8638700097156521,0.0046676913191718225,23
2.570914919263431,0.7961528731202632,63,49,126,0.8638189505490825,0.005538893111981103,24
2.4739081730375914e-06,0.277520361122985,13,67,62,0.8636141210855527,0.006022042602545085,25
4.994575029860345e-05,0.4565318144337925,142,39,121,0.8632045735126725,0.004176719922302632,26
4.755405483606217e-05,0.8338425235044231,40,2,207,0.8628976289911263,0.002769144072557002,27
0.43517065024220974,0.19562533416065078,44,37,93,0.8628719323765717,0.0056694502931565775,28
0.28681477801007593,0.29937017527072957,31,1,67,0.8628463110898446,0.005744705547717771,29
3.03082036878542e-06,0.07974095518812005,94,11,81,0.8623856290225674,0.00555661342924462,30
0.002661858512072995,0.1262443056882902,49,1,62,0.8621553584040719,0.004732796630558685,31
2.0839977358559603,0.09894214956258861,113,10,62,0.8621297698685743,0.004932037358589987,32
0.030354135348113542,0.17894648748932157,8,6,79,0.8620017780642417,0.004507269854868803,33
6.499813706848847e-05,0.02815496809573784,15,2,204,0.8618994402978657,0.003321124849733408,34
0.05731456500934171,0.2695034800976253,10,68,74,0.8615154747102377,0.005268047181053397,35
0.0011117567926782806,0.2513195458148996,9,11,85,0.8614899680528133,0.003758173004677817,36
214.55958973681038,0.5783771796649803,9,2,66,0.861336253432943,0.005808736130330182,37
0.1988741063218021,0.36991828763413537,4,9,90,0.8612083893584049,0.0052431869182135325,38
18.499332916817142,1.254496463088357,12,14,118,0.860977941883271,0.005998983833592258,39
0.4292330676643079,0.06962406794873575,12,12,73,0.8609268499654721,0.004764881062454669,40
0.0003251219686940657,0.41251868870829206,15,1,86,0.8608500843589791,0.004267157822266242,41
2.6266780832925183,0.06713989365543609,127,58,58,0.8604918383117658,0.003822093355309332,42
0.00011399761636721111,0.07667848600928076,139,1,64,0.8603381891943542,0.004722825635059353,43
4.6219490803999275,1.0283118226466186,53,2,205,0.8603126989125446,0.004664264771718931,44
4.557422120985241e-05,0.023885469619692904,53,1,55,0.8602613941117546,0.004743009618871466,45
0.0044317413507876414,0.05549618733365681,6,1,133,0.8601846841823516,0.004223356900659537,46
208.2437817833598,0.04600700452061515,15,4,84,0.8600566203253148,0.004678160220079763,47
821.1604042524601,0.8341002045120071,7,21,78,0.8600054956562863,0.004067526053328525,48
0.0016165338618783188,1.1975054533108764,6,1,101,0.8599799464222639,0.005003266632524383,49
11.56978564341634,0.2999215139749359,3,95,79,0.859647210307598,0.00493672603739464,50
6.858413402325717,0.21534531466283685,140,4,59,0.8594681920879251,0.004212385528732984,51
0.02411731758660868,0.07911176906561786,59,12,38,0.8593912135984414,0.00645421153482992,52
0.04124671114847255,0.036074327893054016,16,1,68,0.8593656578141731,0.004744908529779526,53
1.3721923302570596e-06,0.026065739436166347,220,53,70,0.8593401577069948,0.003828530935525373,54
0.001665212694143019,0.12665524166159092,7,1,54,0.8591097102318607,0.005095475602494209,55
0.00016901212943443343,0.0542739729341685,50,1,28,0.859084124971486,0.004570456331839472,56
0.00020553615494037773,0.28369496669686395,3,25,42,0.85903292497463,0.006277034041102629,57
1.3161973218006013,0.11721082472589074,5,23,20,0.8588538052261464,0.0055973542346613794,58
1.9475049135525428,0.12097891689829446,6,2,33,0.858725816696937,0.005606769538894566,59
0.00032379476816488817,0.9657729394363244,5,13,84,0.8586490740163045,0.003391467311708122,60
3.5403552604921335e-05,0.019109108503748043,162,45,69,0.8585467296996827,0.004345509046448277,61
225.54449433271665,0.1749173240925371,10,1,21,0.8585210036090217,0.005403982455855451,62
0.4558832447266174,0.40677656867174733,152,49,103,0.8584700328707713,0.0046715325257145465,63
8.465432368861589e-05,0.07830296367793803,65,47,31,0.8584187608212108,0.005109089749438245,64
1.1727620659490954,0.3332430430143754,52,2,72,0.8583930707569023,0.006160617777201019,65
2.396442069526217e-06,0.4319346079885746,6,17,42,0.8583674854965274,0.00568071606830548,66
0.000444767489804537,0.47987034473553264,6,9,34,0.8582652361584708,0.0038505217872522356,67
0.21334910048308484,0.2320181577110032,78,17,35,0.8582395886707603,0.004970360667445111,68
0.00010566871807089263,0.06031334979013717,25,2,28,0.8581115575649527,0.0050043559568541925,69
0.0004688323075127349,0.3073333266447676,3,5,50,0.8580604754725225,0.004598299282017407,70
0.04036669691703243,0.06677332704708673,72,26,21,0.8577788967781143,0.00509329630973393,71
9.221690302634605e-06,0.04899725382173833,80,9,25,0.8576509246245194,0.004750114118752789,72
8.924229522007868,0.05618766910031553,20,87,19,0.8575741393672889,0.004700781197800719,73
12.36640199456825,0.14699531280622546,7,2,30,0.857471840902388,0.004074528113982435,74
6.752180638370758e-06,0.02473933223100577,28,18,23,0.8574461475629563,0.004770612030091756,75
0.26452323985072146,0.05721129039812937,108,39,36,0.8573694441837991,0.005705170356853242,76
0.0028681577082967096,0.11261336553007897,11,3,30,0.8573438556483015,0.0045231745895394715,77
0.06800296264134889,0.024779985496985322,60,1,30,0.8572670540154563,0.004653918520122567,78
1.5901387528892162e-06,0.044219569068044695,15,1,49,0.8572158245424939,0.004409302434146814,79
0.00010419394342017786,0.6288447962936061,2,79,46,0.8571901803299063,0.0054989157385685345,80
7.179345484129471,0.10268231100150806,117,1,49,0.8570879015157432,0.004656793370131824,81
7.36760664747205e-06,0.014824513230049154,146,4,65,0.8568576570982313,0.0030919864827717173,82
250.78770124033184,0.07055196226785052,6,29,204,0.8567807735873124,0.005659588816372053,83
0.00011032514280101538,0.22491144070932492,7,5,19,0.8567551621259544,0.005250726595422071,84
0.00010774156785969436,0.032147553536724424,209,9,32,0.8566528505605617,0.0047738370550195735,85
9.43767817002748e-06,0.060021024051020486,82,18,22,0.8566528440103159,0.004054073027126905,86
0.00021021874256639758,0.05493340056881072,55,56,25,0.8566527555819967,0.005288739634628469,87
0.1543268887982791,0.14464663174707404,5,34,29,0.856627225998712,0.004953269125665823,88
21.37965386571359,0.04784853216422707,9,6,40,0.8564735605056855,0.005290650325604129,89
9.668112650050993e-06,0.034134130689705715,14,3,37,0.8562944735084311,0.00508835189293022,90
1.0869863825768986e-05,0.32965885687659413,21,60,25,0.8559873750561069,0.004167621220827044,91
0.0006656296850661948,0.7574450800258256,93,21,250,0.8559363682915044,0.0033218280029024693,92
1.7913812458299192e-06,0.23145513486534716,129,15,34,0.8557570454853985,0.004189076195429896,93
0.19755771425772659,0.042496952330194966,13,33,49,0.8555522815243274,0.0040472746699658805,94
304.8201168364638,0.4599347909229708,2,1,195,0.8554499568584433,0.004272747644009237,95
67.96690990491669,1.4372416582250975,137,46,95,0.8553733189817446,0.005327306540032746,96
0.0012828313093993938,0.3925385800402889,6,1,26,0.8552707454065173,0.004919728293803718,97
0.0027196193615221568,0.18717355240425318,125,17,48,0.8551683748889118,0.004859108940004924,98
10.366619646188994,0.05040176180399572,10,2,29,0.8550659552444625,0.00558358807759577,99
0.04714225417233494,0.4791914818384413,2,3,26,0.8548355994727708,0.005849941120485916,100
1.0649040635153153,0.20377960841411008,3,9,17,0.8547845239305865,0.004693055854815879,101
1.3426922101871117e-06,0.43972136601911166,2,1,26,0.8547588502418926,0.005458436736576007,102
9.499442179835158e-05,1.214521259411402,7,7,58,0.8547333927113122,0.002063080830306462,103
6.876038917913888e-05,0.05848664643942573,6,14,30,0.854605335404521,0.005069173692632144,104
8.485274790884358,0.14135190168246198,3,2,29,0.8544005976444332,0.004845066935061401,105
0.0005215013534748864,0.31882036775594197,2,27,54,0.8542214844461956,0.005265809949593659,106
5.97548545781553e-05,0.5362179105113594,82,73,34,0.8538888433100947,0.004970110430508903,107
9.820181388647262,0.04599295874230216,5,7,186,0.8536329415795034,0.003500414364055715,108
0.5319294325329251,0.030059324037987247,7,36,130,0.8535817153816639,0.0029319349850954724,109
0.09219249683134856,0.9629101701415135,10,18,77,0.8535050218278755,0.0028275312343472828,110
6.378241214536096,0.11767588109803763,124,1,18,0.8534537661539299,0.004717626900084524,111
447.8081570420256,0.1062154633580809,6,4,16,0.8511246821288495,0.004986397425140669,112
3.1643636772503285,0.015412735823168806,13,4,174,0.8510992573494987,0.0030144523592352894,113
